Algorithm,InputType,Size,ExecutionTimeNs,MaxRecursionDepth,Comparisons,Swaps
MergeSort,Random,100,85500,4,663,598
MergeSort,Sorted,100,12000,4,99,0
MergeSort,Reverse,100,118500,4,731,876
MergeSort,DuplicateHeavy,100,64800,4,595,529
QuickSort,Random,100,134000,4,706,462
QuickSort,Sorted,100,70100,4,672,346
QuickSort,Reverse,100,51200,4,733,436
QuickSort,DuplicateHeavy,100,15400,2,313,197
DeterministicSelect,Random,100,127700,7,632,504
DeterministicSelect,Sorted,100,94800,7,537,330
DeterministicSelect,DuplicateHeavy,100,13400,3,318,227
ClosestPair,Random,100,628500,7,642,0
MergeSort,Random,500,122300,7,4250,3923
MergeSort,Sorted,500,9600,7,499,0
MergeSort,Reverse,500,99500,7,3831,5200
MergeSort,DuplicateHeavy,500,90400,7,4046,3825
QuickSort,Random,500,109400,6,4915,2988
QuickSort,Sorted,500,92500,6,5376,3120
QuickSort,Reverse,500,77600,6,4557,2350
QuickSort,DuplicateHeavy,500,32000,2,1549,1027
DeterministicSelect,Random,500,103900,8,3711,2991
DeterministicSelect,Sorted,500,57800,8,2935,1969
DeterministicSelect,DuplicateHeavy,500,34100,5,1587,1202
ClosestPair,Random,500,1861200,9,4513,0
MergeSort,Random,1000,601800,8,9566,8959
MergeSort,Sorted,1000,7900,8,999,0
MergeSort,Reverse,1000,188300,8,8163,11400
MergeSort,DuplicateHeavy,1000,217100,8,9187,8720
QuickSort,Random,1000,165300,6,12857,9004
QuickSort,Sorted,1000,95600,6,11523,6576
QuickSort,Reverse,1000,142600,6,12203,7394
QuickSort,DuplicateHeavy,1000,31400,2,3700,2689
DeterministicSelect,Random,1000,608300,11,7229,5910
DeterministicSelect,Sorted,1000,81800,10,5618,3839
DeterministicSelect,DuplicateHeavy,1000,68400,5,3137,2353
ClosestPair,Random,1000,3430800,10,10068,0
MergeSort,Random,5000,648900,10,59028,55896
MergeSort,Sorted,5000,38100,10,4999,0
MergeSort,Reverse,5000,256400,10,44835,66960
MergeSort,DuplicateHeavy,5000,484400,10,56458,54719
QuickSort,Random,5000,808500,8,74894,52274
QuickSort,Sorted,5000,521600,7,70020,36620
QuickSort,Reverse,5000,469200,8,70668,34844
QuickSort,DuplicateHeavy,5000,149200,3,15601,10590
DeterministicSelect,Random,5000,462300,12,39032,32123
DeterministicSelect,Sorted,5000,201300,12,30471,21500
DeterministicSelect,DuplicateHeavy,5000,155600,7,17440,12823
ClosestPair,Random,5000,28084800,12,61446,0
MergeSort,Random,10000,1179700,11,128076,121955
MergeSort,Sorted,10000,36300,11,9999,0
MergeSort,Reverse,10000,358500,11,94671,143920
MergeSort,DuplicateHeavy,10000,701000,11,122074,119438
QuickSort,Random,10000,2906100,8,157288,104858
QuickSort,Sorted,10000,1785000,8,162820,93346
QuickSort,Reverse,10000,1749500,8,170540,105380
QuickSort,DuplicateHeavy,10000,238500,2,29816,19798
DeterministicSelect,Random,10000,571200,13,82312,68056
DeterministicSelect,Sorted,10000,311800,13,58833,41657
DeterministicSelect,DuplicateHeavy,10000,302600,6,30842,23146
ClosestPair,Random,10000,34163000,13,132885,0
